fitness_avg_sic,expression,depth,length,factor_order_in_model,sym,freq,y_train_ret_period,start_date_train,end_date_train,start_date_test,end_date_test,metric,current_time,fitness_avg_pic_train,fitness_avg_pic_test,fitness_avg_sic_train,fitness_avg_sic_test,fitness_calmar_train,fitness_calmar_test,fitness_sharp_train,fitness_sharp_test,fitness_sharpe_fixed_threshold_train,fitness_sharpe_fixed_threshold_test,fitness_sharpe_std_threshold_train,fitness_sharpe_std_threshold_test,fitness_max_dd_train,fitness_max_dd_test,fitness_avg_mdd_train,fitness_avg_mdd_test,fitness_max_ic_train,fitness_max_ic_test,max_ic_train_check,given_ic_test
,"ta_minus_di_25(ts_sum_17(up_ratio_24), div(ori_ta_macd, ori_ta_macd), TA_SAR(v_trix_8_obv, vol))",2,9,alpha_1,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213142331,,,,,inf,inf,,,,,,,0.0,0.0,0.0,0.0,,,,
,"ta_trima_8(TA_BOP(ta_beta_5(mul(ts_skew_20(trend_slope_24), ts_lag_8(obv_lr_slope_20)), TS_CORR_40(ta_dx_25(c_ta_tsf_5, trend_slope_72, donchian_pos_200), ta_willr_25(h_ta_lr_angle_10, h_ta_lr_angle_10, v_trix_8_obv))), ts_argmax_10(ts_range_5(elu(ori_trix_21))), c_ta_tsf_5, ta_ema_21(ts_rank_5(ts_wma_55(vol_ccy)))))",5,26,alpha_2,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213142331,,,,,inf,inf,,,,,,,0.0,0.0,0.0,0.0,,,,
,"ta_minus_di_14(ts_sum_17(up_ratio_24), tanh(trades), h)",2,6,alpha_3,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213142331,,,,,inf,inf,,,,,,,0.0,0.0,0.0,0.0,,,,
,"ta_dema_8(ts_prod_17(ts_min_20(sub(trend_slope_168, trend_slope_168))))",4,6,alpha_4,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213142331,,,,,inf,inf,,,,,,,0.0,0.0,0.0,0.0,,,,
,ta_lr_slope_10(ts_range_20(tanh(c))),3,4,alpha_5,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213142331,,,,,inf,inf,,,,,,,0.0,0.0,0.0,0.0,,,,
,"tanh(ts_max_5(TA_BOP(vol_ccy, trend_slope_168, c_ta_tsf_5, trend_slope_168)))",3,7,alpha_6,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213142331,,,,,inf,inf,,,,,,,0.0,0.0,0.0,0.0,,,,
,"ta_minus_di_14(ts_kurt_10(trades), tanh(trades), h)",2,6,alpha_7,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213142331,,,,,inf,inf,,,,,,,0.0,0.0,0.0,0.0,,,,
,"ts_std_40(ta_tsf_5(ta_minus_di_25(ta_minus_dm_25(close_macd, h), ta_mfi_14(o, ori_trix_8, donchian_pos_200, v_trix_8_obv), neg(c))))",4,13,alpha_8,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213142331,,,,,inf,inf,,,,,,,0.0,0.0,0.0,0.0,,,,
,ts_std_40(tanh(trades)),2,3,alpha_9,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213142331,,,,,inf,inf,,,,,,,0.0,0.0,0.0,0.0,,,,
,"ta_rocp_14(ta_beta_5(ts_range_20(tanh(c)), ts_skew_10(TS_CORR_40(obv_lr_slope_20, v_trix_8_obv))))",4,9,alpha_10,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213142331,,,,,inf,inf,,,,,,,0.0,0.0,0.0,0.0,,,,
,"ts_std_40(ta_tsf_5(ta_beta_20(ta_rsi_24(sub(trend_slope_24, trend_slope_24)), ta_dx_14(TS_CORR_20(trend_slope_24, c_ta_tsf_5), ta_ema_55(donchian_pos_50), ta_lr_slope_10(trades)))))",5,15,alpha_11,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213142331,,,,,inf,inf,,,,,,,0.0,0.0,0.0,0.0,,,,
,"ts_delta_17(ta_tsf_5(ta_minus_di_25(ta_minus_dm_25(close_macd, h), ta_mfi_14(o, ori_trix_8, donchian_pos_200, v_trix_8_obv), neg(c))))",4,13,alpha_12,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213142331,,,,,inf,inf,,,,,,,0.0,0.0,0.0,0.0,,,,
,"ta_minus_di_14(ts_kurt_10(l), tanh(trades), h)",2,6,alpha_13,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213142331,,,,,inf,inf,,,,,,,0.0,0.0,0.0,0.0,,,,
,"ts_range_20(ta_rocp_14(ta_beta_5(ts_range_20(tanh(c)), ts_skew_10(TS_CORR_40(obv_lr_slope_20, v_trix_8_obv)))))",5,10,alpha_14,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213142331,,,,,inf,inf,,,,,,,0.0,0.0,0.0,0.0,,,,
,"ts_max_5(TA_BOP(vol_ccy, trend_slope_168, c_ta_tsf_5, trend_slope_168))",2,6,alpha_15,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213142331,,,,,inf,inf,,,,,,,0.0,0.0,0.0,0.0,,,,
,"ts_argmin_20(ta_trima_8(ta_dema_21(ts_sma_8(ta_rsi_24(ta_dx_14(vol_ccy, donchian_pos_200, trend_slope_72))))))",6,9,alpha_16,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213142331,,,,,0.9449973639650742,inf,2.3069527919187167,,-0.3673896926043976,,-0.5799688507962656,,-42.10587145765915,0.0,-8.42117429153183,0.0,-9.749000000000002e-05,,-9.749000000000002e-05,
,"ta_minus_di_14(ts_kurt_10(ta_lr_angle_10(ts_prod_3(ts_wma_8(o_ta_lr_slope_10)))), tanh(trades), h)",5,9,alpha_17,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213142331,,,,,inf,inf,,,,,,,0.0,0.0,0.0,0.0,,,,
,ts_range_20(tanh(c)),2,3,alpha_18,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213142331,,,,,inf,inf,,,,,,,0.0,0.0,0.0,0.0,,,,
,"ta_trima_8(ta_dema_21(ts_sma_8(ta_rsi_24(div(ori_ta_macd, ori_ta_macd)))))",5,7,alpha_19,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213142331,,,,,inf,inf,,,,,,,0.0,0.0,0.0,0.0,,,,
,"ts_range_10(TA_BOP(v_trix_8_obv, ta_rocr_25(ta_trix_8(ta_minus_dm_14(cos(up_ratio_24), donchian_pos_200))), trades, ts_skew_10(ta_lr_intercept_10(trend_slope_24))))",6,13,alpha_21,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213142331,,,,,inf,inf,,,,,,,0.0,0.0,0.0,0.0,,,,
,"ts_sum_17(tanh(ts_max_5(TA_BOP(TS_CORR_40(obv_lr_slope_20, v_trix_8_obv), trend_slope_168, c_ta_tsf_5, trend_slope_168))))",5,10,alpha_22,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213142331,,,,,inf,inf,,,,,,,0.0,0.0,0.0,0.0,,,,
