fitness_avg_sic,expression,depth,length,factor_order_in_model,sym,freq,y_train_ret_period,start_date_train,end_date_train,start_date_test,end_date_test,metric,current_time,fitness_avg_pic_train,fitness_avg_pic_test,fitness_avg_sic_train,fitness_avg_sic_test,fitness_calmar_train,fitness_calmar_test,fitness_sharp_train,fitness_sharp_test,fitness_sharpe_fixed_threshold_train,fitness_sharpe_fixed_threshold_test,fitness_sharpe_std_threshold_train,fitness_sharpe_std_threshold_test,fitness_max_dd_train,fitness_max_dd_test,fitness_avg_mdd_train,fitness_avg_mdd_test,fitness_max_ic_train,fitness_max_ic_test,max_ic_train_check,given_ic_test
nan,"ts_range_20(ta_rocp_14(ta_beta_5(ts_range_20(tanh(ta_lr_slope_10(ta_beta_20(ori_trix_21, ori_trix_21)))), ts_skew_10(TS_CORR_40(obv_lr_slope_20, v_trix_8_obv)))))",7,13,alpha_160,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,0.04946682465415181,inf,0.19300010124923786,,0.17344672721523255,,0.0018853977032247202,,-47.19442666165814,0.0,-9.438885332331628,0.0,-0.0012974899999999999,,-0.0012974899999999999,
nan,"ts_sum_17(tanh(ts_max_5(ta_dema_8(ts_prod_17(ts_min_20(ta_dema_8(div(trend_slope_168, trend_slope_168))))))))",8,10,alpha_161,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,0.32057858745217427,inf,0.85863358802986,,0.9760422310766165,,-0.6126166384853406,,-55.62066006526578,0.0,-11.124132013053156,0.0,0.01550251,,0.01550251,
nan,"ta_tema_21(TA_SAR(v_trix_8_obv, vol))",2,4,alpha_162,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,0.8292652952958944,inf,2.074784310042172,,0.5426592245493141,,0.35789363203519725,,-16.22521388754079,0.0,-3.245042777508158,0.0,0.015802510000000002,,0.015802510000000002,
nan,"ta_tsf_20(ta_mom_25(sqrt(TA_SAR(obv_lr_slope_20, o))))",4,6,alpha_163,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,-0.27816511225260715,inf,-2.1525643359619355,,-0.6911584073160273,,-0.3674852224246564,,-147.8873177027245,0.0,-29.577463540544898,0.0,0.011902510000000002,,0.011902510000000002,
nan,"ts_std_40(ta_tsf_5(ta_dx_14(vol_ccy, donchian_pos_50, h_ta_lr_angle_10)))",3,6,alpha_164,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,-0.16037589227787644,inf,-0.5626217591425077,,1.929458552354159,,0.34936022704694,,-23.08951347498642,0.0,-4.617902694997284,0.0,-0.023697489999999998,,-0.023697489999999998,
nan,"ts_std_20(ta_dx_14(ts_skew_10(obv_lr_slope_20), ts_argmax_10(TA_SAR(v_trix_8_obv, trades)), ta_beta_10(donchian_pos_200, trades)))",4,11,alpha_165,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,-0.2076529723127108,inf,-0.8001094141406669,,-0.6621366611690016,,-1.1641376493783582,,-40.96655227771691,0.0,-8.193310455543381,0.0,-0.01139749,,-0.01139749,
nan,"ts_argmin_10(ta_rocp_14(ta_dx_14(ori_ta_macd, vol_ccy, vol)))",3,6,alpha_166,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,0.752987116580532,inf,1.8473097114541097,,2.469458183978731,,1.186063056791454,,-32.17180109264433,0.0,-6.434360218528866,0.0,0.014502510000000001,,0.014502510000000001,
nan,"ta_dema_21(ts_lag_8(ts_argmax_20(ta_mom_25(sqrt(TA_SAR(obv_lr_slope_20, o))))))",6,8,alpha_167,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,-0.07065978719865779,inf,-0.3136086309597664,,0.3864458129699692,,-2.752679763593591,,-106.93115978024636,0.0,-26.914114467078537,0.0,-0.0006974899999999999,,-0.0006974899999999999,
nan,"ta_tema_21(div(ori_ta_macd, ori_ta_macd))",2,4,alpha_168,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,-0.009757644874554394,inf,-0.0567224069319879,,-1.1029588794186842,,-2.404445131662923,,-14.348526862503713,0.0,-2.8697053725007424,0.0,0.029201500000000002,,0.029201500000000002,
nan,"ta_dema_8(ts_argrange_10(cos(ta_tema_21(ta_rocp_14(ta_dx_14(ori_ta_macd, vol_ccy, vol))))))",6,9,alpha_169,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,-0.3171566872063641,inf,-3.0906155658571337,,1.6465994237826216,,-1.911934016369932,,-133.8186875275881,0.0,-26.76373750551762,0.0,-0.011297489999999999,,-0.011297489999999999,
nan,"ts_range_20(ta_rocp_14(ta_ema_55(ta_beta_5(donchian_pos_200, donchian_pos_200))))",4,6,alpha_170,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,0.3166505486920635,inf,0.9360877175770957,,1.0751945975664892,,0.5795311438066962,,-30.422464478483118,0.0,-6.0844928956966235,0.0,0.00070251,,0.00070251,
nan,"ta_cmo_25(ts_sma_21(ta_rocp_14(ts_range_10(ta_beta_10(trend_slope_24, trend_slope_24)))))",5,7,alpha_171,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,0.2213905956345621,inf,0.8142545372916369,,0.7290291309194111,,1.644871538601088,,-75.39994603508816,0.0,-15.079989207017633,0.0,-0.01809749,,-0.01809749,
nan,"ts_lag_17(ta_rocp_14(ts_range_10(ta_beta_10(trend_slope_24, trend_slope_24))))",4,6,alpha_172,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,-0.2518482557085928,inf,-1.8709329985636063,,-1.7551107773913581,,-2.885579370584916,,-86.07863551751919,0.0,-17.215727103503838,0.0,0.02710251,,0.02710251,
nan,"ts_max_5(ts_max_20(ts_rank_5(TA_SAR(v_trix_8_obv, vol))))",4,6,alpha_173,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,-0.1384532882652269,inf,-0.5063100980875076,,-0.4654350306591202,,0.6793703588839091,,-51.20208231879701,0.0,-10.240416463759402,0.0,-0.016297489999999998,,-0.016297489999999998,
nan,"ts_range_5(ta_dx_14(ta_trix_55(ts_range_5(elu(ori_trix_21))), ta_rocp_25(ta_dx_14(vol_ccy, donchian_pos_50, h_ta_lr_angle_10)), ts_rank_5(ta_lr_angle_5(ta_beta_10(trades, ori_trix_55)))))",5,16,alpha_174,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,-0.023123697182690847,inf,-0.08559964067425813,,1.7661663864203943,,0.9023050144930477,,-33.94582914845631,0.0,-6.789165829691262,0.0,0.032502510000000005,,0.032502510000000005,
nan,tanh(v_trix_8_obv),1,2,alpha_175,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,-0.1283417722208847,inf,-0.3670196072716271,,-0.4943881133989527,,-0.1031665473491805,,-86.29962656520769,0.0,-24.18743854972979,0.0,0.01320351,,0.01320351,
nan,"ts_delta_8(ts_argmin_20(ts_lag_17(ts_argmax_10(TA_SAR(v_trix_8_obv, trades)))))",5,7,alpha_176,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,0.23649774816381933,inf,0.6347460438661052,,1.136532370771553,,1.6273211309300908,,-27.263718469376464,0.0,-5.452743693875293,0.0,0.009402510000000001,,0.009402510000000001,
nan,"ta_rocp_14(ts_range_10(ta_ema_55(ta_beta_5(donchian_pos_200, donchian_pos_200))))",4,6,alpha_177,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,0.03703107677998115,inf,0.13694166206509983,,0.797568328000778,,-0.3543407225464008,,-37.336679289675594,0.0,-7.467335857935119,0.0,0.00590251,,0.00590251,
